Signal,WindowStart,WindowEnd,totalPower,peakFreq,peakPower,specCentroid,specBandwidth,specFlatness,specEntropy,bp_delta,bp_theta,bp_alpha,bp_beta,bp_30_80,bp_80_200,RMS,MAV,ZCR,WL,kurtosis,spectrumCurvature,spectrumSlope,Cluster,Is_EMG_like
thalt,513,1024,34.5207603093985,6.25,7.41943017954599,6.76535386474031,2.67312368059007,8.99527755097762e-06,0.546865124530569,2.1748063321258,24.6215631042458,7.39412800353117,0.288518971267692,0.0388916467056048,0.00240810173821421,7.57300587064294,2.75561558847278,0.078125,224.591506513261,15.0504392514361,41.8341790404538,-5.04304138760509,2,0
thalt,769,1280,7.4243501980092e-23,5,6.06016062723362e-23,7.00359289014621e-06,0.00652391782934579,0.999999999999831,3.44856377897831e-06,9.51892028329943e-24,6.04615308476889e-23,3.9086940613021e-24,3.13620644342743e-25,3.17528156811755e-26,2.84614336986576e-27,8.25979392533798e-12,6.85293367999071e-12,0.07421875,4.26928171808701e-10,2.52028371860209,3.18951218849777e-22,-7.52574529728121e-09,2,0
thalt,1025,1536,0.0919996412998739,5,0.0247114109094369,5.59861907739913,2.24239401822114,0.000258363129855598,0.538484434772531,0.017678559137388,0.0643597446052208,0.00957115124829408,0.000339242842146288,3.8692359112969e-05,2.68541916669971e-06,1.22521490570078,0.442530947322555,0.03125,35.323513267386,15.0381814945119,0.139431349525628,-3.99526384444718,2,0
thalt,1281,1792,3.46167163079196,5,0.989828037882755,6.49141845363054,2.52513067214839,3.54950695732389e-06,0.538144491011122,0.256003753719875,2.55906256971413,0.620455123805543,0.0229364683953141,0.00299512727221137,0.000182213112379639,1.27098219853442,0.566475973272414,0.125,46.2341130624831,13.0855923347986,5.19110678772386,-5.28190355385883,2,0
thalt,1537,2048,0.0296364340514573,6.5,0.00645200783774773,6.88163074816346,2.79667486495886,0.000672199169113285,0.548539563534783,0.00171107322539887,0.0208642511542373,0.00672496036662108,0.000287373661592667,3.95993160800393e-05,2.57711826936631e-06,0.337948367588097,0.126407927835523,0.05078125,10.9026530157369,14.6572334367432,0.0355215087122282,-3.59870968371253,2,0
thalt,1793,2304,1.42767779535337e-22,5.25,6.62014599951161e-23,1.51216234264884e-05,0.0100896616995711,0.999999999999823,6.47164607072206e-06,9.98534611318206e-24,1.19404006825669e-22,1.25460022977708e-23,7.37116575064472e-25,7.99490760989727e-26,5.20792547826813e-27,9.31283944438252e-12,7.46209122783173e-12,0.0859375,5.37921646207211e-10,3.33458241973169,5.91789009934136e-22,-1.37401107569052e-08,2,0
thalt,2049,2560,71.9450366410002,5,17.0467894603697,5.92222619307133,2.32248392455614,4.10563986220757e-06,0.543302604842624,10.6515546261072,51.5695534033872,9.3749888215347,0.307471207125372,0.0374111311758954,0.00220709811656636,12.4458731360748,4.5286881692751,0.1328125,369.096516940322,15.050417551614,96.4895988805858,-5.40275200983456,2,0
thalt,2305,2816,171.461162622534,6,36.833035796299,6.66913589424488,2.61542763139505,3.63172392511749e-06,0.546361996683677,11.8353846038026,123.361781029931,34.7594840792756,1.31643513598852,0.175601327717698,0.0108011468567648,12.4458731360748,4.52868816927286,0.12890625,369.096517758398,15.0504175516139,208.23872151519,-5.35489051250846,2,0
thalt,2561,3072,8.37770424706871e-24,5.25,8.72339080209872e-24,8.40611620754877e-07,0.00237438911689382,0.999999999999838,4.36583590125525e-07,6.87924930165084e-25,7.05025274978945e-24,5.59214760708095e-25,5.00523934804392e-26,6.58289595787377e-27,9.87896039512522e-28,3.90072749824405e-12,3.16885339788461e-12,0.078125,2.12989981924388e-10,2.92546040519307,4.29389719887457e-23,-8.24773902309444e-10,2,0
thalt,2817,3328,2.76629161115974e-23,4.75,2.05879551554167e-23,2.33544053759801e-06,0.00353323568426096,0.99999999999985,1.36547824793281e-06,7.08542005125958e-24,1.96191455058935e-23,8.67229454256229e-25,7.64225006179369e-26,6.98693100411507e-27,5.63538000580091e-28,4.37672786191351e-12,3.50893577539974e-12,0.07421875,2.12909602206942e-10,2.77184626106136,1.10292992176662e-22,-2.92914532572795e-09,2,0
thalt,3073,3584,1.47295987606355e-23,4.75,1.15651189893893e-23,1.29664972081749e-06,0.0027227043658261,0.999999999999825,7.58438277882052e-07,3.16269693360876e-24,1.08812951587512e-23,6.20577668017113e-25,5.25376359376324e-26,5.52669162642904e-27,6.16871025730972e-28,3.89377202919928e-12,3.11909134157001e-12,0.07421875,1.95954533025647e-10,2.80880006577622,5.48121281810823e-23,-1.53654333144642e-09,2,0
thalt,3329,3840,8.1674922766411e-24,5.25,6.33729740419611e-24,7.93143656863292e-07,0.00223147426705471,0.999999999999861,4.37376858724917e-07,1.25508709076658e-24,6.35299130232737e-24,5.14252684983617e-25,3.513713337407e-26,3.90605903638883e-27,3.63092053308515e-28,2.91568360475004e-12,2.33117157423573e-12,0.078125,1.57559750459902e-10,2.92125670514222,3.00252519340856e-23,-8.17757000123878e-10,2,0
thalt,3585,4096,1.92288842422118,4.25,0.670889085874142,4.88356615523284,2.51562413411635,0.0021906804881859,0.508729398566353,0.531217202305258,1.25333574303606,0.0893925780734821,0.00642404790795105,0.00126907691941206,0.000283107145534597,5.71484298562134,2.20111532019694,0.0234375,133.71117569212,13.0386647820489,4.65662941795155,-2.89716304925946,2,0
thalt,3841,4352,78.5531165783327,5,26.9750131931485,5.45381986152057,2.22189250941721,2.49202010931461e-06,0.498389823121547,12.7868724173337,59.4312990807734,5.937964185094,0.356074350956606,0.0381492255423245,0.00246763980617163,5.92570787503459,2.44529087482491,0.125,174.391370626936,11.1092795419481,224.041612340058,-5.3721202834877,2,0
